previous_gpa,attendance_rate,study_hours,assignment_average,test_average,library_visits,class_participation,predicted_gpa,risk_level
3.48,100.0,6.2,76.3,56.9,1,10.0,4.45,MEDIUM
3.03,39.1,13.6,41.1,69.1,8,1.3,2.97,HIGH
3.38,82.0,15.4,61.7,65.0,14,8.4,4.0,LOW
2.05,78.7,19.0,29.6,55.3,11,8.6,3.53,MEDIUM
4.71,73.5,13.8,79.3,100.0,9,10.0,5.0,MEDIUM
1.73,69.5,14.3,37.2,38.8,9,6.0,2.71,HIGH
4.04,79.1,10.4,84.4,83.9,10,8.6,5.0,LOW
2.38,95.0,6.8,46.3,69.8,5,10.0,3.64,LOW
2.75,51.2,9.4,70.2,55.1,14,5.2,3.5,HIGH
4.02,65.1,20.6,68.6,82.6,12,8.7,4.35,MEDIUM
4.47,61.2,15.8,79.2,75.0,8,10.0,4.69,MEDIUM
1.51,60.4,14.4,25.2,53.5,13,6.1,2.58,MEDIUM
3.36,83.5,1.1,79.8,59.0,1,10.0,3.85,MEDIUM
3.19,87.4,13.9,78.7,71.2,7,9.8,4.29,LOW
1.65,95.0,4.0,38.5,53.1,0,10.0,3.29,MEDIUM
3.59,87.7,4.4,54.1,54.2,5,10.0,3.76,MEDIUM
1.8,89.0,5.1,39.9,35.2,3,10.0,2.78,HIGH
2.92,55.4,7.4,61.0,50.3,3,7.5,3.59,HIGH
2.53,100.0,17.0,46.6,66.4,8,9.9,3.93,LOW
2.75,74.6,13.4,79.8,42.4,7,6.4,3.52,HIGH
2.43,94.5,6.3,69.7,56.0,7,10.0,4.02,MEDIUM
3.85,56.0,8.5,55.3,80.7,7,2.7,3.82,HIGH
1.65,74.1,15.0,28.2,43.1,9,8.7,2.92,HIGH
3.35,93.1,16.2,69.8,80.2,11,10.0,4.71,LOW
2.44,78.4,12.8,41.0,29.1,8,7.5,3.34,HIGH
2.79,65.9,5.1,58.6,64.3,5,6.7,3.23,MEDIUM
3.34,99.0,9.5,65.1,62.5,4,10.0,4.44,MEDIUM
2.18,59.3,26.3,47.4,30.5,13,7.4,2.92,HIGH
2.69,77.7,4.7,65.6,42.7,4,9.6,3.26,HIGH
2.97,88.2,14.2,77.6,78.3,9,10.0,4.28,LOW
2.01,100.0,24.7,49.1,53.7,17,10.0,3.96,MEDIUM
2.45,70.7,10.4,39.7,62.0,8,7.0,3.16,MEDIUM
3.25,73.6,23.0,65.2,75.1,12,8.2,4.65,MEDIUM
1.07,70.9,7.9,25.2,16.7,2,10.0,2.23,HIGH
1.23,81.8,0.2,53.3,38.1,4,8.7,2.65,HIGH
2.52,87.4,8.5,59.8,66.5,7,10.0,3.65,LOW
3.13,95.5,7.5,66.0,57.0,8,5.5,4.16,MEDIUM
4.68,90.1,2.0,91.7,99.9,4,9.7,5.0,LOW
2.67,70.0,9.5,54.7,48.0,12,7.2,3.36,HIGH
1.38,91.0,17.9,48.2,38.8,10,5.8,3.05,HIGH
